cod_individuo;num_apolices_ativas;tipo_cobertura;valor_premio_anual;tempo_cliente_dias;data_primeira_apolice;num_produtos_contratados;valor_cobertura_total;franquia_media;canal_aquisicao;pagamento_em_dia;desconto_aplicado_pct;metodo_pagamento
IND-221301678813;1;PREMIUM;  ;3418.0;21/01/2017;4;R$ 133.742,49;R$ 903;Telefone;1;0.022;BOL
IND-221301983247;2;Padrão;1487.16;3932.0;08-26-2015;2;131180.69;R$ 1.115,52;Telefone ;S;0.084;Cartao_Credito
IND-221300792347;3;Básica;0.01;1818.0;09 Jun 2021;1;115884.13;1258.65;Agente ;1;0.133;Cartao
IND-221301619950;4;Padrao;R$ 1.329,85;413.0;04-14-2025; ;100032.76;1425.40;Agente;1;0.145;Boleto
IND-221303122706;1;Std;R$ 1.483;3395.0;13 Feb 2017;3;R$ 109.494,71;R$ 643,31;Telefone;Em dia;0.032;DEB AUTO
IND-221300637436;4;basica;1.341,66;3297.0;22 May 2017;1;145094.12;R$ 549,30;  Telefone;Em dia;0.157;Debito Automatico
IND-221301827354;1;PADRAO;R$ 1.091,25;5894.0;12/04/2010;4;198002.09;R$ 702,48;Indicacao;Em dia;0.033;debito
IND-221302886609;5;BASICA;1.698,49;724.0;07 Jun 2024;1;119400.95;R$ 1.572,50;Indicacao;1;0.188;Debito_Auto
IND-221300530181;4;Basic;1.507,86;2091.0;2020/9/9;1;R$ 135.515,04;R$ 1.599,04;  Digital;S;0.141;Cartão
IND-221301673299;2;padrao;947,56;4790.0;2013/4/20;2;R$160.539,24;R$ 490,13;Telefone;Em dia;0.081;Cartão
IND-221302094630;4;Padrão;R$ 1.170,46;30.0;02 May 2026;1;127.322,15;866,74; Telefone;S;0.155;PIX
IND-221301527901;4;PADRAO;R$1.590,60;2987.0;28 Mar 2018;1;R$ 157.465,75;771.32;Digital;Em dia;0.163;Debito Automatico
IND-221302756322;4;Padrao;R$ 1.377,57;912.0;2023/12/2;1;120710.4;1.521,17;Digital;Nao;0.143;Cartao_Credito
IND-221301937799;3;-;R$ 1.533;2729.0;11/12/2018;1;98.856,64;R$ 1.559,85;Agente;OK;0.102;Cartão
IND-221300817892;3;null;R$ 1.540,71;3780.0;25/01/2016;2;R$ 128.891,04;R$ 915,12;Agente  ;0;0.143;Cartão
IND-221300967180;4;basica;1003.66;256.0;18 Sep 2025;1;R$ 117.505,73;R$907,13;Agente ;OK;0.178;PIX
IND-221302188335;4;Basic;R$1.137,98;711.0;20/06/2024;1;110594.2;1064.06;Agente ;S;0.176;pix
IND-221301206359;4;Básica;R$ 1.651,38;1431.0;01/07/2022;1;93.672,16;R$ 765,22;Telefone;OK;0.163;debito
IND-221302723117;4;padrao;1.065,22;2246.0;2020-04-07;1;null;1258.16;Agente;S;0.162;DEB AUTO
IND-221301419236;3;padrao;null;1910.0;03-09-2021;1;R$110.116,38;R$832,26; Indicacao;OK;0.098;CC
IND-221302926672;1;PREMIUM;R$ 1.146,10;7180.0;04/10/2006;4;R$189.419,41;1.027,63;Digital;Sim;0.046;Cartão
IND-221303288427;2;Padrão;R$ 1.306,76;5271.0;26 Dec 2011;2;R$ 142.507,31;R$ 1.499;Agente;1;0.072;Boleto
IND-221302302025;2;Plus;1094.43;1950.0;28/01/2021;2;R$ 122.014,27;R$1.202,35;Digital;OK;0.062;DEB AUTO
IND-221301304080;4;padrao;R$ 1.231,67;30.0;02/05/2026;1;R$ 138.768,68;;Indicacao;1;0.152;Debito_Auto
IND-221302232145;4;Basic;R$ 1.294,21;30.0;02/05/2026;1;R$ 150.702,16;1.051,39;Telefone;Em dia;0.131;PIX
IND-221300882831;4;Std;1144.52;640.0;08-30-2024;1;R$ 123.733,42;R$ 850,34; Digital;OK;0.142;Cartão
IND-221301097538;NULL;BASICA;1622.44;91.0;03-02-2026;1;106173.27;R$ 1.453,90; Digital;S;0.13;Boleto Bancario
IND-221300122203;1;PADRAO;R$ 915,60;4153.0;17/01/2015;5;173267.9;R$ 479;Agente;S;0.075;debito
IND-221301560020;2;N/A;R$ 974;2920.0;03 Jun 2018;1;R$ 93.516,57;590,54;Telefone;N/A;0.072;PIX
IND-221302963803;3;BASICA;R$ 1.210,20;532.0;16/12/2024;1;R$ 94.608,85;R$ 497;Agente;S;0.141;DEB AUTO
IND-221301195739;1;padrao;R$ 1.442,75; ;2015-06-25;5;132706.69;R$1.142,79;Digital;S;0.019;Cartao_Credito
IND-221303218963;4;Básica;R$973,86;662.0;08/08/2024;1;117.247,97;994.14;Agente;S;0.175;Debito Automatico
IND-221300743426;2;Std;R$ 1.462,75;1200.0;17/02/2023;NULL;R$ 165.327,42;1.216,97;Digital  ;Em dia;0.088;CC
IND-221301335348;2;BASICA;932.96;2479.0;18 Aug 2019;1;100086.31;R$ 597,18;Telefone;1;0.065;BOL
IND-221302661192;2;Basic;R$1.274,77;3126.0;2017/11/9;  ;124353.28;null; Agente;Em dia;0.112;Debito Automatico
IND-221302074100;3;Basic;1.075,30;1503.0;20 Apr 2022;1;104.207,62;870.12;Agente ;S;0.14;Debito Automatico
IND-221302552269;2;BASICA;1231.92;2269.0;  ;2;R$155.572,81;960.16;Digital;S;0.065;PIX
IND-221303277255;1;PREMIUM;R$ 891,08;1968.0;10 Jan 2021;4;151271.14;949.43;Agente;1;-;boleto
IND-221301495571;3;Basic;R$ 1.318,50;1575.0;2022-02-07;1;R$111.433,39;R$1.304,77;Digital;Nao;0.132;debito
IND-221302963391;5;basica;1.478,09;30.0;2026/5/2;1;R$ 104.151,11;1668.30;Agente;OK;0.213;Cartao_Credito
IND-221300175877;1;Plus;R$ 901;3414.0;2017-01-25;4;198307.02;635.46;Telefone;Em dia;NA;Debito Automatico
IND-221302059900;1;padrao;R$ 859,77;5403.0;2011/8/16;4;R$ 0,01;R$ 904,95;Telefone;1;0.047;Boleto Bancario
IND-221301630941;1;premium;R$ 1.075,51;2879.0;2018/7/14;5;R$ 179.350,01;R$590,74;Agente;OK;0.009;debito
IND-221302654486;1;Basica;560.19;1450.0;12 Jun 2022;2;R$ 151.023,70;496.93;Agente;S;0.009;Pix
IND-221301207648;4;PADRAO;1215.36;30.0;2026/5/2;1;133992.72;702.89;Agente;OK;0.16;Pix
IND-221303206123;2;NA;R$ 1.455;3092.0;2017/12/13;2;133381.04;R$ 1.254,61;Agente;OK;?;debito
IND-221301155120;4;Básica;R$ 1.062,15;905.0;09/12/2023;1;R$ 128.792,04;1.154,02;Digital;OK;0.177;Debito Automatico
IND-221303230091;2;basica;R$ 1.013,86;3083.0;2017/12/22;3;R$248.419,67;1040.48;Digital;1;0.084;Cartão
IND-221302214891;1;premium;R$ 1.049,79;2663.0;15 Feb 2019;4;R$ 149.217,64;R$ 1.189,90;Digital;Sim;0.033;Debito_Auto
IND-221302021496;1;padrao;1027.37;3256.0;07-02-2017;4;223685.19;#N/D;Digital ;Em dia;0.028;Debito Automatico
IND-221303025761;2;Std;R$ 1.413,50;3718.0;27 Mar 2016;1;R$ 79.586,86;R$ 671,32;Digital;S;0.081;BOL
IND-221302556499;4;Padrão;1.064,86;#N/D;27 Dec 2018;1;R$142.938,15;508.21;Agente;1;0.163;-
IND-221300735294;3;Básica;1746.40;4161.0;2015-01-09;1;87294.94;R$ 720;Digital;S;0.127;CC
IND-221302212687;4;Básica;1579.13;237.0;10-07-2025;1;122.863,88;R$ 1.864,63;  Agente;Sim;0.191;Pix
IND-221303259053;4;BASICA;R$ 1.085,58;1299.0; ;1;R$ 111.420,46;1301.83;Digital  ;#N/D;0.18;Debito Automatico
IND-221302572565;3;BASICA;884,35;30.0;05-02-2026;1;R$ 170.167,69;R$ 393,22; Telefone;Sim;0.127; 
IND-221303240555;2;Padrao;1458.56;3985.0;2015-07-04;3;R$ 220.141,07;1.342,09;Agente;S;0.07;boleto
IND-221303108791;2;Prem.;R$ 1.151,76;3654.0;2016-05-30;2;153644.46;703.82;Telefone;S;0.069;BOL
IND-221301188526;2;PADRAO;1288.68;4788.0;2013/4/22;2;180574.0;R$ 703,13;Digital ;OK;0.082;BOL
IND-221303207961;1;PADRAO;R$ 629,45;566.0;2024-11-12;2;R$170.288,49;R$ 503,19;Agente ;S;0.05;Pix
IND-221302643307;3;basica;R$ 1.105,81;2637.0;13/03/2019;1;R$102.818,96;R$ 660,86;Indicacao;Sim;0.119;Debito_Auto
IND-221301155173;4;padrao;R$1.050,45;1227.0;2023/1/21;1;102725.33;648.06;Digital;S;0.188;Debito_Auto
IND-221301141830;1;Premium;R$ 984,94;3149.0;2017/10/17;4;#N/D;R$ 1.091,19;null;N/A;0.059;pix
IND-221303306742;2;Std;R$1.089,84;3214.0;2017-08-13;2;149004.44;798.96;Agente;Em dia;0.085;Debito_Auto
IND-221300252432;1;Prem.;R$ 3.868,95;1807.0;2021-06-20;5;R$ 155.767,64;R$ 1.147,90;Telefone;Em dia;0.057;Cartão
IND-221303246012;1;premium;R$ 1.067,50;2669.0;09/02/2019;5;230007.41;R$ 1.116,86; Indicacao;Atrasado;0.024;debito
IND-221302071872;4;Padrão;R$ 1.255,30;436.0;2025/3/22;1;R$ 134.103,29;790.74;Digital;Sim;0.176;Debito Automatico
IND-221302667341;4;Padrão;R$ 1.220;911.0;2023-12-03;1;R$ 101.158;563,38;Digital;1;0.162;Boleto Bancario
IND-221301426204;2;Padrao;R$ 1.183,94;916.0;11-28-2023;3;221786.96;1.137,86;Telefone;Sim;0.063;Cartão
IND-221302318648;1;premium;978.57;5160.0;2012-04-15;4;R$ 165.244,95;R$ 577;Digital  ;S;0.009;Boleto Bancario
IND-221303037878;2;Padrao;1.156,75;2321.0;2020-01-23;2;126851.01;R$602,16;Digital;1;0.057;boleto
IND-221302286510;4;Padrao;1.204,77;695.0;07-06-2024;1;R$ 120.420;793.50;Indicacao;1;0.146;#N/D
IND-221303185022;3;Padrão;R$ 1.512,26;#N/D;11-27-2016;1;R$88.332,45;R$ 878,07;Digital  ;OK;0.065;Debito Automatico
IND-221302830188;1;Premium;NULL;6821.0;28/09/2007;4;148.145,98;R$996,09;Digital;Em dia;0.045;CC
IND-221302052136;1;Plus;R$ 906;4893.0;;4;184143.83;665.57;Agente;Em dia;0.021;  
IND-221301326100;4;#N/D;R$1.068,99;2308.0;2020/2/5;1;R$117.211,82;R$ 772,28;Indicacao;Sim;0.165;Boleto
IND-221303183352;4;Padrao;1101.78;897.0;12-17-2023;1;R$ 144.287,48;R$ 943;Telefone;OK;0.148;DEB AUTO
IND-221301888244;1;Padrao;R$1.563,42;3810.0;26 Dec 2015;5;217.751,22;R$ 1.258,39;Digital;0;0.044;Cartão
IND-221301722323;3;padrao;R$ 1.782;3279.0;2017-06-09;2;R$ 159.726,91;2063.35;Agente;Em dia;0.124;N/A
IND-221302606500;1; ;R$1.045,54;1892.0;03-27-2021;4;R$161.611,36;1053.9;Telefone;Em dia;0.04;PIX
IND-221301923330;3;Padrao;1.520,51;30.0;2026/5/2;null;107794.26;R$991,62;Digital;OK;0.146;debito
IND-221300477990;2;padrao;1228.35;1657.0;2021/11/17;2;R$ 156.624,68;R$ 786,15;Telefone;Sim;0.096;Debito Automatico
IND-221301931098;3;  ;890,37;923.0;21/11/2023;1;119532.20;R$ 785,65;Telefone;1;0.129;pix
IND-221302795907;2;padrao;1.072,87;4524.0;11/01/2014;3;R$ 173.836,05;1205.04;Agente;1;0.111;Boleto Bancario
IND-221301303168;4;Básica;R$ 1.494,59;1078.0;2023/6/19;1;R$ 140.094,66;R$ 1.673,05;Agente;Sim;0.156;Cartao_Credito
IND-221302127577;1;Plus;R$942,07;1923.0;2021/2/24;3;R$119.232,59;R$792,86;Digital;OK;0.058;DEB AUTO
IND-221302272710;1;padrao;1.581,72;3786.0;2016/1/19;5;115754.5;R$ 1.876,69;Indicacao;1;0.071;Boleto
IND-221301711869;3;Basic;1574.39;2894.0;29/06/2018;1;99971.24;1704.34;Digital;Em dia;0.137;pix
IND-221300890537;1;premium;3475.5;3718.0;27 Mar 2016;NULL;?;R$ 955,43;Digital;1;0.041;Boleto Bancario
IND-221301687830;4;Basic;983.10;2553.0;05/06/2019;2;218584.79;R$899,06;Agente;Sim;0.164;DEB AUTO
IND-221303092822;3;Básica;1631.35;1261.0;12-18-2022;2;120148.30;901.94;Telefone;OK;0.166;BOL
IND-221300504180;3;Basica;R$ 1.289,84;1217.0;2023-01-31;1;R$106.445,62;R$1.009,03;Agente;Sim;0.142;Debito Automatico
IND-221303207605;4;BASICA;1336.13;1998.0;11/12/2020;2;R$ 303.769,96;R$ 946,42;Agente  ;S;0.126;Cartao_Credito
IND-221302921764;3;padrao;R$ 2.283,22;1496.0;27 Apr 2022;3;R$186.569,64;R$1.794,43;Agente;Em dia;0.117;DEB AUTO
IND-221302110393;1;Premium;2900.3999999999996;3983.0;06 Jul 2015;3;122377.84;R$ 1.027;Indicacao;1;0.06;pix
IND-221303292281;4;Básica;988.65;30.0;02 May 2026;?;R$ 151.355;519.66;Digital;1;0.117;null
IND-221300843385;1;Plus;3.597,66; ;2007-09-08;4;R$ 165.102,21;872.69;Digital;1;0.064;Boleto Bancario
IND-221301547166;2;Padrão;R$ 912,32;2542.0;2019/6/16;#N/D;R$ 132.775,53;544.23;  Indicacao;OK;0.067;pix
IND-221302471149;3;Std;R$ 1.672,70;1660.0;2021/11/14;1;99720.56;R$ 1.773;Agente;Em dia;0.104;DEB AUTO
IND-221301979216;3;Basica;1273.66;1543.0;11 Mar 2022;1;R$ 104.388,95;R$ 930,46;Telefone;S;0.118;Boleto Bancario
IND-221302328702;4;PADRAO;R$ 1.833,08;1631.0;2021/12/13;1;;R$ 1.154,85;Agente;OK;0.106;Debito_Auto
IND-221302143989;4;Padrão;1111.45;2018.0;2020/11/21;1;R$ 141.407,63;R$ 551,27;Telefone;OK;0.168;debito
IND-221302939933;3;Padrão;R$ 1.134,69;3100.0;12-05-2017;1;111424.17;R$1.145,25;Telefone;Em dia;0.125;Pix
IND-221302889765;-;Padrao;NULL;1617.0;27 Dec 2021;?;552.496,04;R$ 1.228,76;Agente;1;0.154;PIX
IND-221303050182;3;Std;695.80;1538.0;2022-03-16;1;147280.63;755.98;Agente;1;0.119;Boleto
IND-221302804376;?;Básica;1193.89;2164.0;2020-06-28;1;R$ 153.628,21;648,68;Digital;-;0.159;Boleto Bancario
IND-221301000510;4;Básica;R$1.056,12;2607.0;2019-04-12;1;R$ 119.794,76;R$ 501,43;Telefone;Sim;0.185;DEB AUTO
IND-221301706530;5;Basic;R$ 1.748,23;761.0;2024/5/1;1;R$ 110.629,24;R$ 728;Telefone;OK;0.185;Boleto
IND-221302901080;3;Prem.;R$ 1.831,56;3417.0;22 Jan 2017;1;68.326,41;1745.08;Digital;Sim;0.098;PIX
IND-221303300345;1;Padrao;606.78;352.0;2025-06-14;2;R$ 116.026,27;315.08; Agente;1;0.028;CC
IND-221302942698;2;PADRAO;R$ 1.269;4576.0;20/11/2013;2;125420.35;R$ 620;  Telefone;S;0.064;Debito_Auto
IND-221303005077;1;premium;995.07;?;null;4;135051.37;R$ 772,94;Agente;1;0.045;Cartão
IND-221300271781;3;BASICA;1.115,05;1608.0;05 Jan 2022;1;R$ 118.442,38;R$ 919,08; Agente;OK;0.124;Boleto Bancario
IND-221303035392;1;Premium;R$1.410,71;4171.0;30 Dec 2014;5;R$104.383,96;R$575,24;Digital;1;0.04;Debito_Auto
IND-221301511224;3;padrao;796.37;862.0;01-21-2024;-;133.032,20;615.71;Agente;S;0.125;DEB AUTO
IND-221300815402;3;PADRAO;R$1.256,35;2254.0;03-30-2020;N/A;R$ 120.440,80;R$ 1.486;Indicacao;N;0.132;debito
IND-221301554329;5;Basic;1536.59;769.0;23/04/2024;2;R$307.520,80;R$ 1.393,34;Agente;Em dia;0.234;boleto
IND-221300757387;4;padrao;R$ 1.010,23;  ;2020-07-20;1;117.311,45;R$ 893,30;Digital;S;0.14;Boleto Bancario
IND-221303221392;2;Std;R$ 986,18;2235.0;2020-04-18;2;R$125.658,15;R$ 775;Agente;Sim;0.085;DEB AUTO
IND-221303154327;NULL;Básica;2096.25;5218.0;2012/2/17;2;R$ 114.854,83;R$1.638,85;Agente;OK;0.156;Debito_Auto
IND-221300239358;4;Básica;R$ 1.090,75;1809.0;06-18-2021;1;144.354,35;R$512,67;Agente;OK;0.174;Pix
IND-221301008840;1;PREMIUM;1.042,61;2317.0;27 Jan 2020;4;177553.17;1173.54;Telefone;S;0.004;boleto
IND-221300305666;2;Plus;1.216,84;830.0;2024-02-22;2;;R$ 1.260,38;Telefone;S;0.083;PIX
IND-221303253481;#N/D;Básica;R$ 1.207,22;2060.0;2020-10-10;1;107080.86;496.43;Digital;Sim;0.121;Boleto
IND-221302365633;1;Std;R$ 687,46;4905.0;2012/12/26;1;NULL;R$ 471,82;Telefone;Em dia;0.028;Cartao_Credito
IND-221300811860;1;Premium;R$ 1.383,28;1905.0;14/03/2021;5;R$ 152.932;R$1.654,56;Digital ;1;0.017;CC
IND-221302797473;3;Padrao;805.96;30.0;05-02-2026;1;R$109.076,70;R$368,15;Indicacao;Em dia;0.105;PIX
IND-221302858346;2;Std;R$ 1.427;2436.0;2019/9/30;2;R$133.402,04;R$ 1.134,45;  Digital;Atrasado;0.096;DEB AUTO
IND-221300152244;2;Padrao;1394.57;3603.0;20 Jul 2016;2;143199.43;R$ 1.458,96;Telefone;Em dia;0.074;PIX
IND-221301803004;2;Basica;999.27;2356.0;19/12/2019;2;R$ 153.571,85;R$ 952;Digital;Sim;0.059;Cartão
IND-221300128078;2;PREMIUM;R$ 1.961,44;3141.0;10-25-2017;3;R$96.675,77;R$1.455,56;Digital;N/A;0.062;pix
IND-221301401305;1;Plus;R$ 1.247,43;3977.0;2015-07-12;3;112073.57;R$ 785,29; Telefone;1;0.042;Debito Automatico
IND-221301594948;1;Prem.;R$ 1.556,61;N/A;12 Jul 2021;6;R$ 210.715,37;1548.88;Agente ;Em dia;0.052;DEB AUTO
IND-221302907892;4;Básica;R$954,98;1799.0;2021/6/28;1;R$ 120.802,69;R$ 839,84;Agente;OK;0.13;CC
IND-221301585383;2;-;R$ 1.015,61;4154.0;16/01/2015;2;508418.08;489.78;Digital  ;1;0.084;DEB AUTO
IND-221302304238;2;premium;819.65;156.0;27 Dec 2025;2;R$ 122.742,03;873.26;Agente;Sim;0.075;Cartão
IND-221300999182;2;basica;762.91;2505.0;23 Jul 2019;1;309.099,12;883,25;Agente;OK;0.078;Debito Automatico
IND-221300203069;2;padrao;1.108,50;30.0;2026-05-02;2;R$ 137.310,03;R$1.019,03;Telefone;1;0.063;BOL
IND-221301333661;2;basica;941.92;1193.0;24/02/2023;#N/D;R$97.260,01;R$ 1.074,75;Agente;OK;0.09;PIX
IND-221300183141;4;PREMIUM;1286.49;600.0;2024-10-09;1;R$120.766,04;R$ 909,77;  Agente;1; ;debito
IND-221302539643;4;basica;1327.31;351.0;06-15-2025;1;R$ 122.344,79;1.017,11;NA;S;0.154;CC
IND-221303021570;3;Basic;R$ 1.353,09;1159.0;2023/3/30;1;R$ 104.458,99;R$ 868,25;Agente;OK;0.139;Boleto
IND-221300699792;1;Plus;  ;3286.0;2017-06-02;4;R$ 140.527,92;R$692,85;Agente;Sim;0.027;PIX
IND-221302887333;4;premium;R$ 1.133;890.0;2023-12-24;1;R$146.368,73;NULL;Indicacao;S;0.142;BOL
IND-221301341358;4;Std;1080.56;967.0;2023-10-08;1;R$ 130.280,01;1237.74;Agente;S;0.197;debito
IND-221301332728;5;padrao;1.818,69;2087.0;13/09/2020;2;202.117,02;1.066,79;  ;Nao;0.221;Debito_Auto
IND-221302280906;1;Premium;R$ 1.554,28;3496.0;04 Nov 2016;6;R$ 145.941;R$ 904;Telefone;Sim;0.065;Cartao_Credito
IND-221300059268;4;Basic;1.449,95;1583.0;30 Jan 2022;1;125851.18;R$960,61;Telefone;1;0.168;Debito_Auto
IND-221303292881;2;Padrao;R$ 3.405,98;1400.0;01 Aug 2022;5;R$ 530.734,56;R$ 3.970,95;Telefone;S;0.097;Debito Automatico
IND-221301133866;4;Padrão;1.394,90;30.0;05-02-2026;1;R$ 119.306,25;1283.06;Indicacao;Sim;0.156;Cartao
IND-221302826508;1;Prem.;441,71;1723.0;2021/9/12;2;R$ 150.193,72;297,47;Agente;OK;0.005;Cartao_Credito
IND-221301502122;1;Plus;1292.44;1162.0;27 Mar 2023;4;152.757,52;  ;Digital  ;Sim;0.03;Boleto
IND-221302907538;2;Premium;1380.84;99999.0;2013-11-20;2;R$ 143.557,33;1249.25;Agente;Em dia;0.069;Pix
IND-221300443248;3;Basic;R$1.694,12;2425.0;2019-10-11;1;R$ 68.315,52;866.05;Indicacao ;1;0.098;Debito_Auto
IND-221302032792;1;Plus;R$ 1.759,45;1815.0;2021/6/12;5;163428.12;R$ 1.306,15;Agente;OK;0.032;PIX
IND-221303061506;1;Padrão;1142.09;4518.0;2014-01-17;4;R$ 169.359,71;855.84;Digital;NA;0.038;boleto
IND-221302558479;1;Plus;R$ 1.013,18;3474.0;26/11/2016;5;178584.47;R$ 1.023,20;Telefone;Sim;0.027;Debito Automatico
IND-221301402837;4;Prem.;1.095,11;1653.0;2021-11-21;#N/D;R$137.559,71;R$ 694,40;Agente;Em dia;0.193;Boleto Bancario
IND-221300904226;3;Padrão;1479.94;4245.0;2014/10/17;2;146431.01;R$ 918,21;Indicacao;OK;0.122;pix
IND-221300116544;4;Basica;1141.1;3517.0;2016-10-14;1;129.916,37;R$ 585;Agente;1;0.127;debito
IND-221303082021;2;Prem.;R$ 1.535,58;1230.0;2023/1/18;2;R$ 132.089;R$ 1.268,63;  Digital;OK;0.076;PIX
IND-221301497882;1;Prem.;R$ 1.044,04;4684.0;04 Aug 2013;4;159119.98;910,31;  Digital;NA;0.044;-
IND-221300363591;2;basica;R$1.344,16;1835.0;2021/5/23;2;118174.82;R$ 795,40;Digital;1;#N/D;CC
IND-221300391006;3;PADRAO;-;1165.0;2023/3/24;1;R$ 97.901,26;1182.99;Digital;Sim;0.095;Cartao
IND-221302347416;3;PADRAO;R$ 1.218,02;1931.0;#N/D;1;106373.04;1106.14;Indicacao;N;0.086;Cartão
IND-221301183739;5;padrao;?;783.0;04-09-2024;#N/D;84.413,49;R$ 1.187;Digital ;1;0.215;Debito Automatico
IND-221300301645;3;Basica;1.498,71;N/A;?;1;R$ 89.062,76;787.01;Digital;Sim;0.101;Cartão
IND-221300872099;4;basica;1.448,64;822.0;03-01-2024;1;135711.11;653,48;Digital ;S;0.16;Cartao
IND-221302842808;1;Padrao;1.601,88;4047.0;2015/5/3;5;R$ 218.188,40;R$980,90;Indicacao ;Sim;0.051;boleto
IND-221302749492;2;Padrão;R$ 964,54;3422.0;17/01/2017;2;115291.82;R$ 789,12; Agente;Atrasado;0.099;Cartão
IND-221301720135;3;Padrão;2042.46;1117.0;05-11-2023;2;160161.39;R$ 1.514,18;Telefone;1;0.113;Cartao
IND-221300308596;2;Básica;1374.39;2232.0;21 Apr 2020;2;NULL;770,51;Digital;Nao;0.081;pix
IND-221300089690;2;Padrão;N/A;2230.0;2020/4/23;N/A;250761.81;1146.97;Agente;OK;0.093;DEB AUTO
IND-221302786444;3;padrao;R$ 1.339,92;74.0;2026/3/19;1;R$ 138.701,78;R$ 1.334,84;Digital ;S;0.117;Cartao_Credito
IND-221302568143;1;Premium;R$ 3.312,33;1286.0;11-23-2022;4;R$153.892,95;1125.35;Indicacao;-;;debito
IND-221300792281;1;padrao;R$ 450,50;4260.0;2014-10-02;2;133967.28;204,02;Agente;Em dia;0.048;Boleto
IND-221300951286;4;padrao;R$ 1.271,60;915.0;11-29-2023;1;  ;R$ 896,97;Digital;Em dia;0.182;debito
IND-221303251730;4;Basic;R$ 1.661,03;641.0;2024-08-29;1;R$380.783,96;853.71;Agente;Em dia;0.178;CC
IND-221302951817;4;PREMIUM;1112.50;332.0;04 Jul 2025;1;R$ 119.342,47;R$1.163,12;Digital;OK;0.155;boleto
IND-221300591440;4;PREMIUM;R$ 1.799,67;2444.0;22/09/2019;1;R$ 91.015,27;1707.72;Agente;Em dia;0.147;Debito Automatico
IND-221302472500;2;Padrão;R$ 0,01;1378.0;2022/8/23;2;R$149.711,13;R$ 995,15;Indicacao;1;0.08;Debito Automatico
IND-221302450765;2;Basica;1424.66;1627.0;12-17-2021;3;R$ 190.465,76;R$ 1.429,10;Agente;Sim;0.047;Cartão
IND-221302573005;3;Básica;R$ 1.108,32;2728.0;12/12/2018;1;R$ 113.297,99;745,87;Telefone ;1;0.128;Debito Automatico
IND-221300770104;4;padrao;R$ 1.210,40;3419.0;#N/D;1;148199.47;823.44;Indicacao;S;0.155;Debito Automatico
IND-221301878579;3;basica;R$1.222,28;416.0; ;1;104219.12;792.45;Indicacao;OK;0.134;Boleto Bancario
IND-221301928981;1;Padrao;4161.9;2762.0;08/11/2018;5;R$ 170.583,57;R$ 1.414,86;Indicacao;OK;0.059;DEB AUTO
IND-221302736740;3;Basica;R$1.338,79;2774.0;2018/10/27;1;104546.95;544,49;Agente;S;0.091;pix
IND-221303196865;2;PADRAO;R$ 1.299,41;-;12-25-2016;2;136.027,23;993.53;Digital;NA;0.094;pix
IND-221302675635;1;Plus;1061.53;1713.0;2021-09-22;4;135.469,57;R$998,05;Agente;S;#N/D;Cartao
IND-221301473404;4;PADRAO;1.366,00;NA;21/07/2021;1;117655.68;R$ 1.372;Digital;1;0.148;Pix
IND-221301662979;2;premium;R$ 1.093;578.0;2024-10-31;2;753281.12;452.25;Agente;Sim;0.139;Cartao_Credito
IND-221302469116;2;PADRAO;;3141.0;2017-10-25;2;R$ 120.628,59;R$ 1.164,88; Indicacao;S;0.086;Cartao
IND-221302822748;5;Basic;R$ 1.685,96;165.0;2025-12-18;1;162008.96;1.102,86;Agente;Em dia;0.206;Cartão
